date,adj_close,close,high,low,open,volume,daily_return,weekly_return,ma_7,ma_21,ma_cross,dist_from_ma21,daily_range,rsi_14,macd,macd_signal,macd_hist,bb_position,volatility_7,volatility_20,volume_change,volume_ma20,volume_ratio,lag_return_1,lag_return_3,lag_return_5,month,quarter,season_num,season,is_earnings_week,vix,is_major_event,target_direction,target_return
2015-01-02,170.12501525878906,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,-0.0005351724380278089,-0.011262371177949926,171.69137573242188,169.67613292875745,2.015242803664421,0.0026455242837251742,0.015870753650920017,52.33837998579107,0.9861202745112507,0.9603029647304904,0.025817309780760356,0.5467453925390728,0.004615742304970278,0.009946288908340406,-0.06803990983152486,145960465.0,0.8321835642274776,-0.009922885999351205,0.0013436259797861005,9.622866982894607e-05,1,1,0,Winter,0,17.790000915527344,0,0,-0.005744210428032651
2015-01-05,167.0526580810547,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600,-0.018059408682848943,-0.03223897943827947,170.9779990059989,169.47781880696616,1.5001801990327408,-0.01430960548692042,0.01807806621195194,42.081518771379834,0.6304216666038371,0.8943267051051598,-0.26390503850132263,0.2937076217751049,0.007571152412676157,0.010713815249101597,0.39654503856637957,149876265.0,1.1318176363682402,-0.0005351724380278089,-0.005366144673951134,0.0032245474606011904,1,1,0,Winter,0,19.920000076293945,0,0,0.004609807322147508
2015-01-06,165.47914123535156,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400,-0.009419286491925472,-0.0426409302647488,170.03746904645647,169.21359398251488,0.8238750639415855,-0.022069460610529935,0.023326206442307453,37.97668450876318,0.2190334172572932,0.7592680475355865,-0.5402346302782933,0.19050048186219415,0.007530758900689659,0.010848423227943809,0.23296701223703464,155782560.0,1.342585460143934,-0.018059408682848943,-0.009922885999351205,0.0013436259797861005,1,1,0,Winter,0,21.1200008392334,0,1,0.0113102626400885
2015-01-07,167.541259765625,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700,0.01246150127973289,-0.025481391149529853,169.31226675851005,169.0342327299572,0.2780340285528382,-0.008832370462599303,0.010982347515260496,45.48203182403239,0.058724062865053384,0.6191592506014799,-0.5604351877364265,0.3778657647165573,0.00979117363961233,0.011221368894331516,-0.40068916583871783,156620485.0,0.8003212351181265,-0.009419286491925472,-0.0005351724380278089,-0.005366144673951134,1,1,0,Winter,0,19.309999465942383,0,1,-0.007167223558795714
2015-01-08,170.5142059326172,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800,0.017744561376410006,0.0017512778474557678,168.9786376953125,169.0509549095517,-0.0723172142392059,0.008655680317501744,0.012726201650335455,54.10470768105895,0.16961444453588115,0.5292502893883602,-0.359635844852479,0.6281973658847377,0.012832675645932396,0.011956722350140083,0.17448484882330373,157722370.0,0.9333983505320139,0.01246150127973289,-0.018059408682848943,-0.009922885999351205,1,1,0,Winter,0,17.010000228881836,0,0,-0.0334142324810809
2015-01-09,169.1477813720703,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300,-0.008013552613245878,-0.005744210428032637,168.58231026785714,169.00809951055618,-0.4257892426990395,0.0008264802806412821,0.017203912688090836,50.17657029193433,0.1455589160059958,0.4525120147118873,-0.3069530987058915,0.5047308350372581,0.01299088894418868,0.011509763391254568,0.07709325910317899,157657915.0,1.0057680897276866,0.017744561376410006,-0.009419286491925472,-0.0005351724380278089,1,1,0,Winter,0,17.549999237060547,0,0,-0.012827203381352315
2015-01-12,167.82273864746094,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100,-0.007833639400180559,0.004609807322147441,168.24040004185267,169.0319606236049,-0.7915605817522362,-0.00715380672201172,0.01596927779971525,46.64032722827272,0.019351786949584948,0.36587996915942683,-0.3465281822098419,0.39321649715939255,0.012807914363798696,0.011607579098667312,-0.08937025477510185,156927080.0,0.9201477527014458,-0.008013552613245878,0.01246150127973289,-0.018059408682848943,1,1,0,Winter,0,19.600000381469727,0,0,-0.002911415273687674
2015-01-13,167.3507537841797,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300,-0.0028124011506732716,0.011310262640088498,167.84407697405135,168.9929497128441,-1.148872738792761,-0.009717541065795171,0.02969811075432968,45.412604162404705,-0.11740018971761401,0.2692239373840187,-0.3866241271016327,0.3399933533051868,0.012794881432508188,0.010999621708111551,0.48586630802355457,157538235.0,1.361912554117418,-0.007833639400180559,0.017744561376410006,-0.009419286491925472,1,1,0,Winter,0,20.559999465942383,0,0,0.0049483478411988
2015-01-14,166.3404541015625,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100,-0.006037019014088818,-0.007167223558795732,167.7423335484096,169.0352528889974,-1.2929193405878152,-0.015942229454376206,0.01520976236936406,42.81461294973041,-0.3037978647543298,0.15461957695634898,-0.4584174417106788,0.22865383632416916,0.011004815082917875,0.010971291015549799,-0.10049810466676579,157689500.0,1.2238677908167632,-0.0028124011506732716,-0.008013552613245878,0.01246150127973289,1,1,0,Winter,0,21.479999542236328,0,0,0.026087376097209798
2015-01-15,164.8166046142578,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900,-0.009161027577658687,-0.033414232481080886,167.64768545968192,169.05911545526413,-1.4114299955822105,-0.025094836380644383,0.018990742051439344,39.17429742970247,-0.5679344881748705,0.010108763930105099,-0.5780432521049755,0.0475124652269252,0.010970537589987424,0.01102172508921044,-0.08485987177647047,153543005.0,1.150256893825935,-0.006037019014088818,-0.007833639400180559,0.017744561376410006,1,1,0,Winter,0,22.389999389648438,0,1,0.0298967145156179
