date,adj_close,close,high,low,open,volume,daily_return,weekly_return,ma_7,ma_21,ma_cross,dist_from_ma21,daily_range,rsi_14,macd,macd_signal,macd_hist,bb_position,volatility_7,volatility_20,volume_change,volume_ma20,volume_ratio,lag_return_1,lag_return_3,lag_return_5,month,quarter,season_num,season,is_earnings_week,vix,is_major_event,target_direction,target_return
2015-01-16,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000,0.006254228739435819,-0.06576019613221984,13.346380914960589,14.159904616219658,-0.8135237012590686,-0.09100142471936058,0.025068589643991796,29.52100333176105,-0.5275672284410344,-0.40004277270944877,-0.12752445573158566,0.052550465953926366,0.022786074619913808,0.024005101087062063,-0.3092686667305665,70975875.0,0.7614981851227618,-0.004255528597720826,0.010088497728839352,-0.018801629106854012,1,1,0,Winter,0,20.950000762939453,0,0,0.06981928965512796
2015-01-20,12.795332908630371,12.795332908630371,12.941332817077637,12.469332695007324,12.924667358398438,67548000,-0.00590461088227523,-0.050838300494980615,13.168380873543876,14.11580939519973,-0.9474285216558531,-0.09354592780336096,0.03688845967829031,28.82022656848926,-0.5522349949693144,-0.4304812171614219,-0.12175377780789248,0.08689779606596348,0.022501121120577106,0.018810726575564544,0.24977797513321498,68740800.0,0.9826478597863277,0.006254228739435819,-0.05659733676235856,-0.021532914950603166,1,1,0,Winter,1,19.889999389648438,0,1,0.07320383525855752
2015-01-21,13.104666709899902,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,62295000,0.024175518017267583,-0.037600985004317744,13.072285652160645,14.046952247619629,-0.9746665954589844,-0.06708113768090901,0.04665001460203116,35.528539821006746,-0.5405921157096358,-0.4525033968710647,-0.08808871883857111,0.2160617610546632,0.026201852079617026,0.01987981679382557,-0.07776692130040863,66672675.0,0.9343407925360727,-0.00590461088227523,-0.004255528597720826,0.010088497728839352,1,1,0,Winter,1,18.850000381469727,0,1,0.01424427593465189
2015-01-22,13.441332817077637,13.441332817077637,13.549332618713379,13.013333320617676,13.133333206176758,61753500,0.02569055090301542,0.046343851194732055,13.06666646684919,13.990856988089424,-0.9241905212402344,-0.03927737746727051,0.03987694564148424,41.941775308355034,-0.49845305229018777,-0.4616933279548894,-0.036759724335298394,0.3396709500016291,0.02781349407308934,0.020579790668404624,-0.008692511437515038,66160800.0,0.9333850255740559,0.024175518017267583,0.006254228739435819,-0.05659733676235856,1,1,0,Winter,1,16.399999618530273,0,0,0.017756236776974226
2015-01-23,13.419333457946777,13.419333457946777,13.566666603088379,13.222000122070312,13.352666854858398,51579000,-0.0016366947705445112,0.049095762705230195,13.03847599029541,13.923206193106514,-0.8847302028111041,-0.03618941845515498,0.02568432195966923,41.650219104788704,-0.4615126745299438,-0.4616571972699003,0.00014452273995646525,0.35093717208355873,0.02744984993205485,0.020581409921655833,-0.16475989215186182,65360475.0,0.7891466517034951,0.02569055090301542,-0.00590461088227523,-0.004255528597720826,1,1,0,Winter,1,16.65999984741211,0,1,0.011475929791586228
2015-01-26,13.770000457763672,13.770000457763672,13.907999992370605,13.403332710266113,13.45533275604248,48517500,0.02613147671721605,0.06981928965512796,13.17047609601702,13.877428463527135,-0.7069523675101141,-0.007741204074357653,0.036649765092778584,47.870737895430054,-0.3993379435411697,-0.4491933465241542,0.04985540298298452,0.4797823286452893,0.014792756577660129,0.021590740956568353,-0.059355551678008545,66787200.0,0.7264490800632456,-0.0016366947705445112,0.024175518017267583,0.006254228739435819,1,1,0,Winter,1,15.520000457763672,0,0,0.021253916159217758
2015-01-27,13.732000350952148,13.732000350952148,13.868666648864746,13.553333282470703,13.628000259399414,41715000,-0.0027596300325537504,0.07320383525855756,13.304857117789131,13.825745945885068,-0.5208888280959361,-0.006780509008327356,0.022963396325006533,47.282487408539474,-0.3491060352638051,-0.4291758842720844,0.08006984900827929,0.4905665189679969,0.014560379067423482,0.02053177954247886,-0.14020714175297577,66377700.0,0.6284490122435697,0.02613147671721605,0.02569055090301542,-0.00590461088227523,1,1,0,Winter,1,17.219999313354492,0,0,0.06010287070407303
2015-01-28,13.291333198547363,13.291333198547363,13.758000373840332,13.227999687194824,13.740667343139648,47244000,-0.03209052877530916,0.01424427593465194,13.364857128688268,13.73542849222819,-0.3705713635399217,-0.03233210335826838,0.03987566023124246,40.99177987504271,-0.34092507044900167,-0.4115257215074679,0.07060065105846625,0.34679083118303783,0.021759812201947684,0.021407433454050995,0.13254225098885297,66638025.0,0.7089645889115112,-0.0027596300325537504,-0.0016366947705445112,0.024175518017267583,1,1,0,Winter,1,20.440000534057617,0,1,0.09620302773062701
2015-01-29,13.680000305175781,13.680000305175781,13.732000350952148,13.100000381469727,13.404666900634766,53221500,0.02924214605280495,0.017756236776974132,13.491238185337611,13.670317422775994,-0.1790792374383834,0.0007083143792736077,0.046198827147928265,47.61214019629311,-0.29962551320836717,-0.3891456798476478,0.08952016663928064,0.5299275018604452,0.022902818818521468,0.02266191977118886,0.12652400304800615,67121700.0,0.7929104894542301,-0.03209052877530916,0.02613147671721605,0.02569055090301542,1,1,0,Winter,1,18.760000228881836,0,0,0.07694931583629148
2015-01-30,13.573332786560059,13.573332786560059,13.83133316040039,13.533332824707031,13.597332954406738,45105000,-0.007797333058199185,0.011475929791586292,13.558190482003349,13.611174538021995,-0.052984056018646086,-0.0027801973559466024,0.021954838975762173,46.084016454094915,-0.2723628642831013,-0.3657891167347385,0.09342625245163722,0.511842552518019,0.02275083830741732,0.022652864619327195,-0.15250415715453336,67653825.0,0.6667028804358068,0.02924214605280495,-0.0027596300325537504,-0.0016366947705445112,1,1,0,Winter,1,20.969999313354492,0,1,0.0675835898967945
2015-02-02,14.062666893005371,14.062666893005371,14.130000114440918,13.553333282470703,13.597999572753906,62238000,0.0360511389604945,0.02125391615921779,13.646952492850167,13.574761844816662,0.07219064803350506,0.035942070569363944,0.04100693249422292,53.46300936950941,-0.20886418937698004,-0.33440413126318685,0.12553994188620682,0.809727642311704,0.024566490031547462,0.024220961492235307,0.37984702361157296,67192425.0,0.9262651258679829,-0.007797333058199185,-0.03209052877530916,0.02613147671721605,2,1,0,Winter,0,19.43000030517578,0,1,0.031004067266725555
