date,open,high,low,close,volume,vwap
2016-04-19 04:00:00,16.8747,16.958,16.0834,16.4913,95362890.0,16.5149
2016-04-20 04:00:00,16.4173,16.9107,16.1,16.6647,77910765.0,16.629
2016-04-21 04:00:00,16.5993,16.7267,16.4607,16.5527,41745885.0,16.5726
2016-04-22 04:00:00,16.5927,16.9333,16.3807,16.9167,56794905.0,16.6918
2016-04-25 04:00:00,16.8673,17.1587,16.7173,16.788,55055220.0,16.9117
2016-04-26 04:00:00,16.8033,17.0487,16.626,16.916,48357585.0,16.8594
2016-04-27 04:00:00,16.85,17.0,16.6267,16.7647,48057120.0,16.7523
2016-04-28 04:00:00,16.6567,16.8953,16.496,16.514,37784850.0,16.7399
2016-04-29 04:00:00,16.5427,16.562,15.854,16.0507,81206805.0,16.1341
2016-05-02 04:00:00,16.1,16.2127,15.6547,16.12,57659025.0,15.917
2016-05-03 04:00:00,15.824,15.9273,15.4413,15.488,64369455.0,15.6376
2016-05-04 04:00:00,15.3527,15.6307,14.6933,14.8373,130506885.0,15.1223
2016-05-05 04:00:00,15.2307,15.2427,13.986,14.102,168772905.0,14.3839
2016-05-06 04:00:00,14.058,14.4247,13.874,14.3287,85278555.0,14.1806
2016-05-09 04:00:00,14.3813,14.41,13.7867,13.928,71645730.0,14.0367
2016-05-10 04:00:00,13.8367,13.9647,13.6667,13.9127,61059255.0,13.8228
2016-05-11 04:00:00,13.8393,14.3653,13.7367,13.9307,77427960.0,14.0881
2016-05-12 04:00:00,14.096,14.1113,13.5771,13.8187,54757125.0,13.8
2016-05-13 04:00:00,13.852,14.08,13.78,13.8407,42341715.0,13.9158
2016-05-16 04:00:00,13.8767,14.21,13.8613,13.886,44240940.0,14.0104
2016-05-17 04:00:00,13.9367,13.988,13.6013,13.644,42653955.0,13.753
2016-05-18 04:00:00,13.9433,14.354,13.85,14.078,84262785.0,14.0796
2016-05-19 04:00:00,14.2413,14.4527,13.82,14.3473,102994815.0,14.1591
2016-05-20 04:00:00,14.466,14.7033,14.4233,14.6853,135031140.0,14.5477
2016-05-23 04:00:00,14.658,14.84,14.3907,14.4147,76537185.0,14.5723
2016-05-24 04:00:00,14.44,14.5827,14.3453,14.5273,45207645.0,14.4844
2016-05-25 04:00:00,14.5273,14.7573,14.434,14.6387,46989225.0,14.6414
2016-05-26 04:00:00,14.7,15.0173,14.6033,15.008,61086360.0,14.8436
2016-05-27 04:00:00,14.9993,15.062,14.7167,14.8693,54754080.0,14.8719
2016-05-31 04:00:00,14.8693,14.9833,14.7667,14.882,41835030.0,14.861
2016-06-01 04:00:00,14.7653,14.8267,14.4593,14.6373,44740425.0,14.5964
2016-06-02 04:00:00,14.6393,14.6606,14.474,14.5973,30492480.0,14.572
2016-06-03 04:00:00,14.6667,14.796,14.534,14.5993,33434550.0,14.6219
2016-06-06 04:00:00,14.5333,14.7267,14.3633,14.712,33742620.0,14.5947
2016-06-07 04:00:00,14.816,15.6293,14.768,15.4893,93203595.0,15.3257
2016-06-08 04:00:00,15.5867,16.0563,15.507,15.7013,89579925.0,15.7764
2016-06-09 04:00:00,15.6653,15.6887,15.1373,15.2907,67381125.0,15.4447
2016-06-10 04:00:00,15.1593,15.198,14.5614,14.586,90399045.0,14.8318
2016-06-13 04:00:00,14.6333,15.0513,14.5107,14.5247,62895330.0,14.7732
2016-06-14 04:00:00,14.592,14.8133,14.1687,14.3307,53702505.0,14.4351
2016-06-15 04:00:00,14.4633,14.7933,14.342,14.5133,43578330.0,14.5835
2016-06-16 04:00:00,14.4947,14.536,14.2333,14.5287,36603885.0,14.401
2016-06-17 04:00:00,14.5207,14.666,14.3,14.3647,46689300.0,14.4586
2016-06-20 04:00:00,14.6333,14.9167,14.5487,14.6467,53332065.0,14.7202
2016-06-21 04:00:00,14.712,14.8379,14.5873,14.6407,67935075.0,13.9537
2016-06-22 04:00:00,13.298,13.73,13.05,13.1107,356080635.0,13.3322
2016-06-23 04:00:00,13.046,13.17,12.8087,13.0933,151961220.0,12.987
2016-06-24 04:00:00,12.67,13.008,12.6487,12.8767,105397740.0,12.8252
2016-06-27 04:00:00,12.724,13.254,12.5247,13.2367,108289470.0,12.879
2016-06-28 04:00:00,13.4593,13.6033,13.294,13.4527,93186330.0,13.436
2016-06-29 04:00:00,13.6753,14.1187,13.5333,14.0127,89923620.0,13.8753
2016-06-30 04:00:00,14.198,14.2333,13.9347,14.152,72646665.0,14.0878
2016-07-01 04:00:00,13.7427,14.5493,13.7333,14.4333,79349265.0,14.2228
2016-07-05 04:00:00,13.982,14.3029,13.8667,14.2653,77630175.0,14.0336
2016-07-06 04:00:00,14.0,14.3487,13.9333,14.296,73170825.0,14.1632
2016-07-07 04:00:00,14.2067,14.5413,14.2007,14.396,54180330.0,14.4141
2016-07-08 04:00:00,14.52,14.654,14.3,14.452,61121775.0,14.4591
2016-07-11 04:00:00,14.664,15.1187,14.634,14.9853,81447345.0,14.9838
2016-07-12 04:00:00,14.94,15.1667,14.8813,14.9767,68447475.0,15.0011
2016-07-13 04:00:00,15.0333,15.0393,14.686,14.8353,53505930.0,14.8093
2016-07-14 04:00:00,14.8747,14.996,14.7367,14.7687,40137510.0,14.8128
