date,open,high,low,close,volume,vwap
2016-04-19 04:00:00,209.74,210.2,208.94,209.9,88077973.0,209.6897
2016-04-20 04:00:00,209.95,210.92,209.39,210.1,81369946.0,210.151
2016-04-21 04:00:00,210.12,210.25,208.65,208.97,85621994.0,209.441
2016-04-22 04:00:00,208.55,209.29,207.91,208.97,99231089.0,208.7258
2016-04-25 04:00:00,208.26,208.66,207.54,208.61,66306440.0,208.1816
2016-04-26 04:00:00,209.04,209.52,208.36,208.9192,74876128.0,208.8453
2016-04-27 04:00:00,208.47,209.81,208.05,209.35,77487455.0,208.9938
2016-04-28 04:00:00,208.46,209.76,206.96,207.4475,97314090.0,208.4502
2016-04-29 04:00:00,206.72,207.13,205.03,206.3308,142616964.0,206.1591
2016-05-02 04:00:00,206.92,208.18,206.41,207.97,62083288.0,207.2937
2016-05-03 04:00:00,206.52,206.8,205.28,206.1592,106619552.0,206.3124
2016-05-04 04:00:00,204.99,205.85,204.42,205.01,92369723.0,205.09
2016-05-05 04:00:00,205.56,205.98,204.47,204.97,67743213.0,205.1425
2016-05-06 04:00:00,204.06,205.77,203.88,205.72,89319371.0,204.9352
2016-05-09 04:00:00,205.57,206.4,205.36,205.8892,74582347.0,205.8839
2016-05-10 04:00:00,206.72,208.5,206.64,208.45,77685671.0,207.8011
2016-05-11 04:00:00,207.91,208.54,206.5,206.5,81873475.0,207.4093
2016-05-12 04:00:00,207.29,207.4899,205.37,206.56,89711813.0,206.453
2016-05-13 04:00:00,206.21,206.86,204.38,204.76,96614347.0,205.5801
2016-05-16 04:00:00,204.96,207.34,204.89,206.78,77452403.0,206.4194
2016-05-17 04:00:00,206.46,206.8,204.23,204.8508,115090002.0,205.4463
2016-05-18 04:00:00,204.44,206.3,203.63,204.91,123662602.0,204.89
2016-05-19 04:00:00,204.06,204.54,202.78,204.2,115524003.0,203.7506
2016-05-20 04:00:00,204.92,206.1,204.86,205.49,102425000.0,205.4164
2016-05-23 04:00:00,205.51,205.84,204.985,205.21,58855919.0,205.4039
2016-05-24 04:00:00,206.17,208.24,206.14,207.87,93783118.0,207.3383
2016-05-25 04:00:00,208.67,209.77,208.62,209.28,79470978.0,209.246
2016-05-26 04:00:00,209.44,209.71,208.97,209.34,55425200.0,209.3401
2016-05-27 04:00:00,209.53,210.25,209.47,210.24,64324769.0,209.9065
2016-05-31 04:00:00,210.56,210.69,209.18,209.84,109916570.0,210.0098
2016-06-01 04:00:00,209.12,210.48,208.89,210.27,70162378.0,209.8386
2016-06-02 04:00:00,209.8,210.93,209.2399,210.91,63137239.0,210.2263
2016-06-03 04:00:00,210.25,210.69,208.86,210.28,102287607.0,210.044
2016-06-06 04:00:00,210.7,211.77,210.51,211.35,65004501.0,211.208
2016-06-07 04:00:00,211.525,212.34,211.5,211.68,61181646.0,211.8551
2016-06-08 04:00:00,211.84,212.52,211.6899,212.37,66319800.0,212.1809
2016-06-09 04:00:00,211.51,212.22,211.19,212.08,73935810.0,211.7183
2016-06-10 04:00:00,210.46,210.86,209.43,210.07,114058351.0,210.2328
2016-06-13 04:00:00,209.36,210.37,208.35,208.4492,117931509.0,209.2621
2016-06-14 04:00:00,208.0,208.74,206.9199,208.04,125146575.0,207.7389
2016-06-15 04:00:00,208.54,209.36,207.53,207.75,109317739.0,208.4175
2016-06-16 04:00:00,206.73,208.57,205.59,208.37,147309510.0,207.2559
2016-06-17 04:00:00,207.17,207.2,205.75,206.52,117213521.0,206.6669
2016-06-20 04:00:00,208.82,209.61,207.75,207.85,83038665.0,208.6706
2016-06-21 04:00:00,208.3,208.92,207.78,208.44,72571250.0,208.3559
2016-06-22 04:00:00,208.65,209.5,207.93,208.1,94790269.0,208.6029
2016-06-23 04:00:00,209.81,210.87,209.27,210.81,102817960.0,210.0245
2016-06-24 04:00:00,203.63,210.8463,202.72,203.13,334108058.0,205.0852
2016-06-27 04:00:00,201.59,201.6,198.65,199.6,249323337.0,199.9781
2016-06-28 04:00:00,201.48,203.23,201.12,203.1997,159899827.0,201.9167
2016-06-29 04:00:00,204.84,206.93,204.72,206.66,137646824.0,205.8629
2016-06-30 04:00:00,207.21,209.54,206.56,209.475,164240835.0,208.3417
2016-07-01 04:00:00,209.36,210.49,209.29,209.9208,106472609.0,209.9514
2016-07-05 04:00:00,208.95,209.08,207.71,208.41,110099990.0,208.5152
2016-07-06 04:00:00,207.83,209.8,207.06,209.66,96240494.0,208.6271
2016-07-07 04:00:00,209.87,210.6495,208.63,209.526,85628193.0,209.5973
2016-07-08 04:00:00,211.05,212.94,210.7785,212.65,134178895.0,211.8071
2016-07-11 04:00:00,213.19,214.07,212.95,213.4,73833307.0,213.5526
2016-07-12 04:00:00,214.53,215.3,214.25,214.95,100079207.0,214.7345
2016-07-13 04:00:00,215.44,215.45,214.35,214.92,87499292.0,214.9115
2016-07-14 04:00:00,216.4,216.67,215.66,216.12,91495061.0,216.1488
2016-07-15 04:00:00,216.78,217.0125,215.308,215.83,106397714.0,215.9408
2016-07-18 04:00:00,215.97,216.6,215.67,216.4092,58932718.0,216.2791
2016-07-19 04:00:00,215.92,216.23,215.63,216.19,54455563.0,215.9915
2016-07-20 04:00:00,216.75,217.37,216.24,217.085,57779156.0,217.0014
2016-07-21 04:00:00,216.96,217.22,215.75,216.265,67925026.0,216.5191
2016-07-22 04:00:00,216.41,217.3,216.1,217.24,62890792.0,216.9
2016-07-25 04:00:00,217.0,217.06,215.97,216.65,55940114.0,216.437
2016-07-26 04:00:00,216.53,217.17,215.76,216.75,70234228.0,216.5029
2016-07-27 04:00:00,217.19,217.27,215.62,216.52,84281768.0,216.5134
2016-07-28 04:00:00,216.29,217.11,215.75,216.77,64985955.0,216.4311
2016-07-29 04:00:00,216.46,217.54,216.13,217.12,79663987.0,217.0454
2016-08-01 04:00:00,217.19,217.65,216.405,216.94,73564629.0,216.9231
2016-08-02 04:00:00,216.65,216.83,214.57,215.5492,92455650.0,215.6101
2016-08-03 04:00:00,215.48,216.245,215.13,216.18,54162562.0,215.8385
2016-08-04 04:00:00,216.31,216.78,214.25,216.4097,46719794.0,216.3588
2016-08-05 04:00:00,217.21,218.23,217.07,218.18,71814037.0,217.8193
2016-08-08 04:00:00,218.4,218.52,217.74,218.05,39763562.0,218.0688
2016-08-09 04:00:00,218.13,218.76,217.8,218.18,51351941.0,218.2667
2016-08-10 04:00:00,218.31,218.4038,217.23,217.64,58109670.0,217.7288
2016-08-11 04:00:00,218.26,218.94,217.95,218.65,72610628.0,218.4993
2016-08-12 04:00:00,218.29,218.71,217.99,218.46,61400341.0,218.4107
2016-08-15 04:00:00,218.89,219.5,218.88,219.09,50040284.0,219.2122
2016-08-16 04:00:00,218.6,218.68,217.96,217.96,53366480.0,218.3194
2016-08-17 04:00:00,218.0,218.53,217.02,218.37,75238670.0,217.8767
2016-08-18 04:00:00,218.34,218.9,218.21,218.86,53105125.0,218.6162
2016-08-19 04:00:00,218.31,218.75,217.74,218.54,75552767.0,218.3828
2016-08-22 04:00:00,218.26,218.8,217.83,218.53,61544685.0,218.3729
2016-08-23 04:00:00,219.25,219.6,218.9,218.97,53518191.0,219.1761
2016-08-24 04:00:00,218.8,218.91,217.36,217.85,71838435.0,218.2703
2016-08-25 04:00:00,217.4,218.19,217.22,217.7,69363291.0,217.6916
2016-08-26 04:00:00,217.92,219.12,216.25,217.29,122639140.0,217.5545
2016-08-29 04:00:00,217.44,218.665,217.4,218.3608,70636711.0,218.0844
2016-08-30 04:00:00,218.26,218.59,217.35,218.0,58227701.0,217.9095
2016-08-31 04:00:00,217.61,217.75,216.465,217.38,85367126.0,217.2805
2016-09-01 04:00:00,217.37,217.73,216.03,217.39,97964527.0,217.03
2016-09-02 04:00:00,218.39,218.87,217.7,218.37,79499707.0,218.2842
2016-09-06 04:00:00,218.7,219.12,217.86,219.0308,56740860.0,218.5961
2016-09-07 04:00:00,218.84,219.22,218.3,219.01,75789858.0,218.8895
2016-09-08 04:00:00,218.62,218.94,218.15,218.51,74043053.0,218.5992
2016-09-09 04:00:00,216.97,217.03,213.25,213.28,220306910.0,215.2604
2016-09-12 04:00:00,212.39,216.81,212.31,216.34,167245059.0,214.7779
2016-09-13 04:00:00,214.84,215.1499,212.5,213.23,182929068.0,213.8767
2016-09-14 04:00:00,213.29,214.7,212.5,213.15,134134558.0,213.4468
2016-09-15 04:00:00,212.96,215.73,212.75,215.28,145803486.0,214.476
2016-09-16 04:00:00,213.48,213.69,212.57,213.37,155339239.0,213.3534
2016-09-19 04:00:00,214.13,214.88,213.03,213.41,80457907.0,213.8885
2016-09-20 04:00:00,214.41,214.59,213.38,213.42,69816306.0,213.8321
2016-09-21 04:00:00,214.24,216.03,213.44,215.82,110438276.0,214.6616
2016-09-22 04:00:00,217.0,217.53,216.71,217.18,76890575.0,217.1416
2016-09-23 04:00:00,216.72,216.88,215.88,215.99,73779772.0,216.3744
2016-09-26 04:00:00,215.02,215.23,214.01,214.24,90023348.0,214.5396
2016-09-27 04:00:00,214.05,215.68,213.62,215.57,78594132.0,214.9833
2016-09-28 04:00:00,215.83,216.82,214.71,216.64,87465443.0,215.8727
2016-09-29 04:00:00,216.4,216.87,214.04,214.68,128214050.0,215.396
2016-09-30 04:00:00,215.65,217.12,215.36,216.3,117308305.0,216.2602
2016-10-03 04:00:00,215.82,216.04,215.04,215.78,82709451.0,215.7305
2016-10-04 04:00:00,215.91,216.17,213.99,214.68,120123626.0,215.1965
2016-10-05 04:00:00,215.41,216.13,215.33,215.63,72916934.0,215.7034
2016-10-06 04:00:00,215.37,216.04,214.735,215.78,63167352.0,215.5386
2016-10-07 04:00:00,216.1,216.3,214.19,215.04,89690582.0,215.161
2016-10-10 04:00:00,216.155,216.7,215.985,216.16,51239183.0,216.2972
2016-10-11 04:00:00,215.66,215.74,212.58,213.43,130505266.0,214.0608
2016-10-12 04:00:00,213.59,214.32,213.01,213.71,73969272.0,213.6952
2016-10-13 04:00:00,212.16,213.59,211.21,213.01,101552593.0,212.4645
2016-10-14 04:00:00,214.15,214.69,213.03,213.12,93360222.0,213.6102
2016-10-17 04:00:00,213.09,213.39,212.17,212.38,58410661.0,212.6473
2016-10-18 04:00:00,214.24,214.31,213.27,213.71,77031866.0,213.7747
2016-10-19 04:00:00,214.02,214.64,213.6,214.28,66655575.0,214.2248
2016-10-20 04:00:00,213.87,214.53,213.11,213.88,73817389.0,213.8973
2016-10-21 04:00:00,212.96,214.08,212.76,213.98,89077810.0,213.5614
2016-10-24 04:00:00,215.0,215.32,214.48,214.89,60265987.0,214.7834
2016-10-25 04:00:00,214.68,214.98,213.98,214.17,66644744.0,214.3744
2016-10-26 04:00:00,213.21,214.42,212.93,213.74,75880466.0,213.7213
2016-10-27 04:00:00,214.58,214.62,213.08,213.17,77331004.0,213.5881
2016-10-28 04:00:00,213.14,213.93,211.71,212.54,140716604.0,212.8155
2016-10-31 04:00:00,212.93,213.19,212.36,212.55,61500942.0,212.7077
2016-11-01 04:00:00,212.93,212.99,209.6,211.01,122981700.0,211.2099
2016-11-02 04:00:00,210.65,211.1,209.23,209.74,103565543.0,210.1861
2016-11-03 04:00:00,209.99,210.24,208.46,208.78,89144552.0,209.3737
2016-11-04 04:00:00,208.91,209.89,208.38,208.55,109274160.0,209.0606
2016-11-07 05:00:00,211.45,213.19,211.3,213.15,110216710.0,212.1206
2016-11-08 05:00:00,212.69,214.77,212.38,214.11,107003552.0,213.8518
2016-11-09 05:00:00,212.37,217.1,212.34,216.3792,259524221.0,214.5723
2016-11-10 05:00:00,217.3,218.31,215.22,216.92,172584233.0,216.7846
2016-11-11 05:00:00,216.08,216.7,215.32,216.42,100747590.0,216.1836
2016-11-14 05:00:00,217.03,217.27,215.72,216.59,94879477.0,216.4855
2016-11-15 05:00:00,217.04,218.28,216.8,218.28,91839101.0,217.5643
2016-11-16 05:00:00,217.56,218.14,217.42,217.87,65838419.0,217.8184
2016-11-17 05:00:00,218.05,219.06,217.92,218.99,69987006.0,218.6634
2016-11-18 05:00:00,219.07,219.27,218.29,218.5,86468373.0,218.6731
2016-11-21 05:00:00,219.17,220.18,219.0,220.15,72630234.0,219.6909
2016-11-22 05:00:00,220.51,220.79,219.73,220.58,67601389.0,220.35
2016-11-23 05:00:00,219.98,220.76,219.75,220.7,56780544.0,220.3464
2016-11-25 05:00:00,221.1,221.56,221.01,221.52,37872255.0,221.2893
2016-11-28 05:00:00,221.16,221.48,220.36,220.48,76769168.0,220.9382
2016-11-29 05:00:00,220.52,221.44,220.17,220.91,70097650.0,220.8244
2016-11-30 05:00:00,221.63,221.82,220.31,220.38,113470335.0,220.8995
2016-12-01 05:00:00,220.73,220.73,219.15,219.57,79332111.0,219.8652
2016-12-02 05:00:00,219.67,220.25,219.26,219.68,75036361.0,219.6901
2016-12-05 05:00:00,220.65,221.4,220.42,221.0,68052312.0,220.8036
2016-12-06 05:00:00,221.22,221.7441,220.662,221.7,60068470.0,221.2638
2016-12-07 05:00:00,221.52,224.67,221.38,224.6,110892748.0,223.335
2016-12-08 05:00:00,224.57,225.7,224.26,225.15,99880783.0,224.9827
